back_team,countrie,datetime,event_link,home_team,status,timestamp
Man Utd,Inglaterra - Barclays Premier League,19/08/19 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/barclays-premier-league/wolverhampton/manchester-united/3029092,Wolverhampton,Terminado,1566230400
Coritiba,Brasil - Série B,19/08/19 17:00:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/oeste/coritiba/2988036,Oeste,Terminado,1566244800
Bragantino,Brasil - Série B,19/08/19 17:00:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/criciuma/bragantino/2988040,Criciúma,Terminado,1566244800
Godoy Cruz,Argentina - Campeonato Argentino,19/08/19 12:30:00,https://www.academiadasapostasbrasil.com/stats/match/argentina/campeonato-argentino/atletico-tucuman/godoy-cruz/3070354,Tucumán,Terminado,1566228600
Gimn La Plata,Argentina - Campeonato Argentino,19/08/19 14:45:00,https://www.academiadasapostasbrasil.com/stats/match/argentina/campeonato-argentino/colon/gimnasia-y-esgrima/3070351,Colón,Terminado,1566236700
Independiente,Argentina - Campeonato Argentino,19/08/19 17:00:00,https://www.academiadasapostasbrasil.com/stats/match/argentina/campeonato-argentino/estudiantes-de-la-plata/independiente/3070347,Estudiantes,Terminado,1566244800
Portimonense,Portugal - Liga Sagres,19/08/19 13:15:00,https://www.academiadasapostasbrasil.com/stats/match/portugal/liga-sagres/tondela/portimonense/3064661,Tondela,Terminado,1566231300
Alianza Univ,Peru - Primera Division,19/08/19 14:00:00,https://www.academiadasapostasbrasil.com/stats/match/peru/primera-division/ayacucho/alianza-universidad/2968765,Ayacucho,Terminado,1566234000
Charleroi,Bélgica - 1e Klasse,19/08/19 12:30:00,https://www.academiadasapostasbrasil.com/stats/match/belgica/1e-klasse/zulte-waregem/charleroi/3050166,ZW,Terminado,1566228600
Darmstadt 98,Alemanha - 2. Liga,19/08/19 12:30:00,https://www.academiadasapostasbrasil.com/stats/match/alemanha/2-liga/osnabruck/darmstadt-98/3047352,Osnabrück,Terminado,1566228600
Guingamp,França - Ligue 2,19/08/19 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-2/auxerre/guingamp/3031048,Auxerre,Terminado,1566229500
Gaziantep BB,Turquia - Super LIga,19/08/19 11:00:00,https://www.academiadasapostasbrasil.com/stats/match/turquia/super-liga/fenerbahce/gaziantep-bb/3081778,Fenerbahçe,Terminado,1566223200
IFK Göteborg,Suécia - Allsvenskan,19/08/19 11:00:00,https://www.academiadasapostasbrasil.com/stats/match/suecia/allsvenskan/helsingborgs/gotemborg/2947282,Helsingborg,Terminado,1566223200
Östersunds FK,Suécia - Allsvenskan,19/08/19 11:00:00,https://www.academiadasapostasbrasil.com/stats/match/suecia/allsvenskan/elfsborg/ostersunds-fk/2947283,Elfsborg,Terminado,1566223200
AFC Utd,Suécia - Allsvenskan,19/08/19 11:00:00,https://www.academiadasapostasbrasil.com/stats/match/suecia/allsvenskan/djurgardens/afc-united/2947287,Djurgården,Terminado,1566223200
Horsens,Dinamarca - Superligaen,19/08/19 11:00:00,https://www.academiadasapostasbrasil.com/stats/match/dinamarca/superligaen/aarhus/horsens/3026919,AGF,Terminado,1566223200
