back_team,countrie,datetime,event_link,home_team,status,timestamp
Club Brugge,Europa - Liga dos Campeões da UEFA,01/10/19 10:55:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-dos-campeoes-da-uefa/real-madrid/club-brugge/3160561,Real Madrid,Terminado,1569938100
PSG,Europa - Liga dos Campeões da UEFA,01/10/19 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-dos-campeoes-da-uefa/galatasaray/paris-saint-germain/3160562,Galatasaray,Terminado,1569945600
Bayern München,Europa - Liga dos Campeões da UEFA,01/10/19 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-dos-campeoes-da-uefa/tottenham/bayern-munique/3160571,Tottenham,Terminado,1569945600
Dinamo Zagreb,Europa - Liga dos Campeões da UEFA,01/10/19 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-dos-campeoes-da-uefa/manchester-city/dinamo-zagreb/3160582,Man City,Terminado,1569945600
Leverkusen,Europa - Liga dos Campeões da UEFA,01/10/19 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-dos-campeoes-da-uefa/juventus/bayer-leverkusen/3160591,Juventus,Terminado,1569945600
Atlético,Europa - Liga dos Campeões da UEFA,01/10/19 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-dos-campeoes-da-uefa/lokomotiv-moscou/atletico-de-madrid/3160592,Lokomotiv M,Terminado,1569945600
Boca,América do Sul - Copa Libertadores da América,01/10/19 18:30:00,https://www.academiadasapostasbrasil.com/stats/match/america-do-sul/copa-libertadores-da-america/river-plate/boca-juniors/2981323,River Plate,Terminado,1569965400
Criciúma,Brasil - Série B,01/10/19 16:15:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/vila-nova/criciuma/2988127,Vila Nova,Terminado,1569957300
Shakhtar D,Europa - Liga dos Campeões da UEFA,01/10/19 10:55:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-dos-campeoes-da-uefa/atalanta/shakhtar-donetsk/3160581,Atalanta,Terminado,1569938100
Olympiakos,Europa - Liga dos Campeões da UEFA,01/10/19 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-dos-campeoes-da-uefa/estrela-vermelha/olympiakos/3160572,Estrela Vermelha,Terminado,1569945600
Hilal,Ásia - Liga dos Campeões da Ásia,01/10/19 09:30:00,https://www.academiadasapostasbrasil.com/stats/match/asia/liga-dos-campeoes-da-asia/al-sadd/al-hilal/2942590,Sadd,Terminado,1569933000
Jazeera,Ásia - Copa AFC,01/10/19 10:00:00,https://www.academiadasapostasbrasil.com/stats/match/asia/copa-afc/al-ahed-beirut/al-jazeera/2942467,Ahed,Terminado,1569934800
Nottm Forest,Inglaterra - Championship,01/10/19 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/championship/blackburn-rovers/nottingham-forest/3035616,Blackburn,Terminado,1569944700
Sheff Wed,Inglaterra - Championship,01/10/19 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/championship/hull-city/sheffield-wednesday/3035618,Hull,Terminado,1569944700
West Bromwich,Inglaterra - Championship,01/10/19 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/championship/leeds-united/west-bromwich/3035620,Leeds,Terminado,1569944700
Preston,Inglaterra - Championship,01/10/19 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/championship/middlesbrough/preston-north-end/3035622,Middlesbrough,Terminado,1569944700
Birmingham,Inglaterra - Championship,01/10/19 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/championship/wigan/birmingham-city/3035628,Wigan,Terminado,1569944700
Fulham,Inglaterra - Championship,01/10/19 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/championship/reading/fulham/3035624,Reading,Terminado,1569945600
Huddersfield,Inglaterra - Championship,01/10/19 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/championship/stoke/huddersfield-town/3035626,Stoke,Terminado,1569945600
