back_team,countrie,datetime,event_link,home_team,status,timestamp
Santos,Brasil - Paulista A1,27/01/20 17:00:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/paulista-a1/guarani/santos/3186437,Guarani,Terminado,1580155200
Arsenal,Inglaterra - Copa FA,27/01/20 14:00:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/copa-fa/bournemouth/arsenal/3203609,Bournemouth,Terminado,1580144400
Rio Ave,Portugal - Liga Sagres,27/01/20 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/portugal/liga-sagres/vitoria-de-guimaraes/rio-ave/3064805,Guimarães,Terminado,1580139900
Marítimo,Portugal - Liga Sagres,27/01/20 15:00:00,https://www.academiadasapostasbrasil.com/stats/match/portugal/liga-sagres/sporting/maritimo/3064799,Sporting CP,Terminado,1580148000
Inter Limeira,Brasil - Paulista A1,27/01/20 17:00:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/paulista-a1/bragantino/inter-de-limeira/3186436,Bragantino,Terminado,1580155200
Lupe Ole Soaga,Oceania - Campeonato de Clubes da Oceania,27/01/20 21:00:00,https://www.academiadasapostasbrasil.com/stats/match/oceania/campeonato-de-clubes-da-oceania/tupapa-maraerenga/lupe-ole-soaga/3195558,Tupapa,Terminado,1580169600
Livorno,Itália - Serie B,27/01/20 14:00:00,https://www.academiadasapostasbrasil.com/stats/match/italia/serie-b/perugia/livorno/3122749,Perugia,Terminado,1580144400
Benfica II,Portugal - Liga Vitalis,27/01/20 13:45:00,https://www.academiadasapostasbrasil.com/stats/match/portugal/liga-vitalis/estoril/benfica-ii/3065240,Estoril,Terminado,1580143500
Troyes,França - Ligue 2,27/01/20 13:45:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-2/le-havre/troyes/3031221,Le Havre,Terminado,1580143500
Rize,Turquia - Super LIga,27/01/20 11:00:00,https://www.academiadasapostasbrasil.com/stats/match/turquia/super-liga/sivasspor/caykur-rizespor/3081944,Sivas,Terminado,1580133600
Aswan,Egito - Premier League,27/01/20 06:30:00,https://www.academiadasapostasbrasil.com/stats/match/egito/premier-league/haras-el-hedood/aswan-fc/3172406,Haras,Terminado,1580117400
Geish,Egito - Premier League,27/01/20 09:00:00,https://www.academiadasapostasbrasil.com/stats/match/egito/premier-league/misr-lel-makasa/talaea-el-geish/3172407,Makasa,Terminado,1580126400
Volos NFC,Grécia - Super Liga,27/01/20 10:00:00,https://www.academiadasapostasbrasil.com/stats/match/grecia/super-liga/paok/volos-nfc/3052014,PAOK,Terminado,1580130000
Asteras,Grécia - Super Liga,27/01/20 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/grecia/super-liga/lamia/asteras-tripolis/3052015,Lamia,Terminado,1580137200
M Haifa,Israel - Ligat Al,27/01/20 12:15:00,https://www.academiadasapostasbrasil.com/stats/match/israel/ligat-al/bnei-yehuda-tel-aviv/maccabi-haifa/3033746,Bnei Yehuda,Terminado,1580138100
Excelsior,Holanda - Eerste Divisie,27/01/20 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/holanda/eerste-divisie/psv-ii/excelsior/3031901,PSV II,Terminado,1580140800
Csákvári,Mundo - Amistosos,27/01/20 05:00:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/krasnodar-ii/csakvari-tk/3219779,Krasnodar II,Terminado,1580112000
Horsens,Mundo - Amistosos,27/01/20 06:00:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/hobro/horsens/3198153,Hobro,Terminado,1580115600
Rad,Mundo - Amistosos,27/01/20 06:00:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/vitosha-bistritsa/rad-beograd/3220002,Bistritsa,Terminado,1580115600
Taraz,Mundo - Amistosos,27/01/20 06:30:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/ska-khabarovsk/taraz/3213557,Energiya,Terminado,1580117400
Dunărea C,Mundo - Amistosos,27/01/20 06:30:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/radnicki-nis/dunarea-calarasi/3220312,Radnički Niš,Terminado,1580117400
Olimpik D,Mundo - Amistosos,27/01/20 06:30:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/spartak-subotica/olimpik-donetsk/3220320,Spartak,Terminado,1580117400
Karviná,Mundo - Amistosos,27/01/20 07:00:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/zaglebie-lubin/karvina/3191307,Zagłębie,Terminado,1580119200
Lok Plovdiv,Mundo - Amistosos,27/01/20 07:00:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/zemplin-michalovce/lokomotiv-plovdiv-1936/3205762,Zemplín,Terminado,1580119200
Vorskla,Mundo - Amistosos,27/01/20 07:00:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/radnik-surdulica/vorskla-poltava/3209875,Radnik,Terminado,1580119200
Jagiellonia,Mundo - Amistosos,27/01/20 08:00:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/dnipro-1/jagiellonia-bialystok/3197763,Dnipro-1,Terminado,1580122800
Dinamo Brest,Mundo - Amistosos,27/01/20 08:00:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/dynamo-kiev/dinamo-brest/3201057,Dynamo Kyiv,Terminado,1580122800
Ordabasy,Mundo - Amistosos,27/01/20 08:30:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/beroe/ordabasy/3204521,Beroe,Terminado,1580124600
Türkgücü-Ataspor,Mundo - Amistosos,27/01/20 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/unterfohring/turkgucu-ataspor/3219784,Unterföhring,Terminado,1580137200
Mito,Mundo - Amistosos,27/01/20 19:00:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/vegalta-sendai/mito-hollyhock/3211610,Vegalta,Cancelado,1580162400
Cliftonville,Irlanda do Norte - IFA Premiership,27/01/20 13:45:00,https://www.academiadasapostasbrasil.com/stats/match/irlanda-do-norte/ifa-premiership/coleraine/cliftonville/3044356,Coleraine,Terminado,1580143500
Altınordu,Turquia - Lig A,27/01/20 10:00:00,https://www.academiadasapostasbrasil.com/stats/match/turquia/lig-a/fatih-karagumruk/altnordu/3083332,Fatih,Terminado,1580130000
Großaspach,Alemanha - 3. Liga,27/01/20 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/alemanha/3-liga/kaiserslautern/sonnenhof-grosaspach/3053342,Kaiserslautern,Terminado,1580137200
Tlaxcala,México - Segunda División,27/01/20 17:00:00,https://www.academiadasapostasbrasil.com/stats/match/mexico/segunda-division/reboceros-la-piedad/tlaxcala/3128024,Reboceros,Terminado,1580155200
Marcílio Dias,Brasil - Catarinense,27/01/20 17:00:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/catarinense/avai/marcilio-dias/3194520,Avaí,Terminado,1580155200
Dinamo Zagreb U23,Europa - Premier League International Cup,27/01/20 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/premier-league-international-cup/leicester-city-u23/dinamo-zagreb-u23/3131110,Leicester City U23,Terminado,1580140800
Wolfsburg U23,Europa - Premier League International Cup,27/01/20 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/premier-league-international-cup/brighton-u23/wolfsburg-u23/3131118,Brighton U23,Terminado,1580140800
Swansea City U23,Europa - Premier League International Cup,27/01/20 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/premier-league-international-cup/everton-u23/swansea-city-u23/3131129,Everton U23,Terminado,1580140800
Wigan Athletic U23,Inglaterra - Premier League Cup,27/01/20 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/premier-league-cup/sunderland-u23/wigan-athletic-u23/3175831,Sunderland U23,Terminado,1580140800
Dreams,Gana - Premier League,27/01/20 09:30:00,https://www.academiadasapostasbrasil.com/stats/match/gana/premier-league/ebusua-dwarfs/dreams/3196344,Ebusua,Terminado,1580128200
Humble,Jamaica - Premier League,27/01/20 19:00:00,https://www.academiadasapostasbrasil.com/stats/match/jamaica/premier-league/mount-pleasant-academy/humble-lions/3150191,Mount Pleasant Academy,Terminado,1580162400
H Petah Tikva,Israel - Liga Leumit,27/01/20 11:00:00,https://www.academiadasapostasbrasil.com/stats/match/israel/liga-leumit/maccabi-petah-tikva/hapoel-petah-tikva/3031571,M Petah Tikva,Terminado,1580133600
H Bnei Lod,Israel - Liga Leumit,27/01/20 11:00:00,https://www.academiadasapostasbrasil.com/stats/match/israel/liga-leumit/hapoel-katamon/hapoel-bnei-lod/3031572,H Katamon,Terminado,1580133600
