back_team,countrie,datetime,event_link,home_team,status,timestamp
Colo Colo,América do Sul - Copa Libertadores da América,03/10/18 18:45:00,https://www.academiadasapostasbrasil.com/stats/match/america-do-sul/copa-libertadores-da-america/palmeiras/colo-colo/2788002,Palmeiras,Terminado,1538603100
Estrela Vermelha,Europa - Liga dos Campeões da UEFA,03/10/18 10:55:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-dos-campeoes-da-uefa/paris-saint-germain/estrela-vermelha/2909069,PSG,Terminado,1538574900
Club Brugge,Europa - Liga dos Campeões da UEFA,03/10/18 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-dos-campeoes-da-uefa/atletico-de-madrid/club-brugge/2909045,Atlético,Terminado,1538582400
Monaco,Europa - Liga dos Campeões da UEFA,03/10/18 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-dos-campeoes-da-uefa/borussia-dortmund/monaco/2909046,Dortmund,Terminado,1538582400
Barcelona,Europa - Liga dos Campeões da UEFA,03/10/18 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-dos-campeoes-da-uefa/tottenham/barcelona/2909057,Tottenham,Terminado,1538582400
Inter,Europa - Liga dos Campeões da UEFA,03/10/18 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-dos-campeoes-da-uefa/psv-eindhoven/internazionale/2909058,PSV,Terminado,1538582400
Liverpool,Europa - Liga dos Campeões da UEFA,03/10/18 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-dos-campeoes-da-uefa/napoli/liverpool/2909070,Napoli,Terminado,1538582400
Galatasaray,Europa - Liga dos Campeões da UEFA,03/10/18 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-dos-campeoes-da-uefa/porto/galatasaray/2909082,Porto,Terminado,1538582400
Caracas,América do Sul - Copa Bridgestone Sul-Americana,03/10/18 16:30:00,https://www.academiadasapostasbrasil.com/stats/match/america-do-sul/copa-bridgestone-sul-americana/atletico-pr/caracas/2898921,Atlético PR,Terminado,1538595000
Bahia,América do Sul - Copa Bridgestone Sul-Americana,03/10/18 18:45:00,https://www.academiadasapostasbrasil.com/stats/match/america-do-sul/copa-bridgestone-sul-americana/botafogo/bahia/2898922,Botafogo,Terminado,1538603100
Schalke 04,Europa - Liga dos Campeões da UEFA,03/10/18 10:55:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-dos-campeoes-da-uefa/lokomotiv-moscou/schalke-04/2909081,Lokomotiv M,Terminado,1538574900
Suwon,Ásia - Liga dos Campeões da Ásia,03/10/18 04:00:00,https://www.academiadasapostasbrasil.com/stats/match/asia/liga-dos-campeoes-da-asia/kashima-antlers/suwon-bluewings/2765284,Kashima,Terminado,1538550000
April 25,Ásia - Copa AFC,03/10/18 06:00:00,https://www.academiadasapostasbrasil.com/stats/match/asia/copa-afc/altyn-asyr/april-25/2782017,Altyn,Terminado,1538557200
Raja,África - Copa das Confederações Africanas,03/10/18 07:00:00,https://www.academiadasapostasbrasil.com/stats/match/africa/copa-das-confederacoes-africanas/enyimba-international-fc/rca-casablanca/2923172,Enyimba,Terminado,1538560800
V.Club,África - Copa das Confederações Africanas,03/10/18 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/africa/copa-das-confederacoes-africanas/el-masry-club/asv-club/2923175,Masry,Terminado,1538582400
Binacional,Peru - Primera Division,03/10/18 12:15:00,https://www.academiadasapostasbrasil.com/stats/match/peru/primera-division/univ-san-martin/deportivo-binacional/2716327,Uni San Martín,Terminado,1538579700
Boys,Peru - Primera Division,03/10/18 14:30:00,https://www.academiadasapostasbrasil.com/stats/match/peru/primera-division/utc-cajamarca/sport-boys/2716323,Cajamarca,Terminado,1538587800
Municipal,Peru - Primera Division,03/10/18 16:45:00,https://www.academiadasapostasbrasil.com/stats/match/peru/primera-division/real-garcilaso/deportivo-municipal/2716321,Garcilaso,Terminado,1538595900
Cristal,Peru - Primera Division,03/10/18 19:00:00,https://www.academiadasapostasbrasil.com/stats/match/peru/primera-division/melgar/sporting-cristal/2716320,Melgar,Terminado,1538604000
Nacional,Uruguai - Primera Division,03/10/18 14:00:00,https://www.academiadasapostasbrasil.com/stats/match/uruguai/primera-division/liverpool-montevideo/nacional-uruguai/2724849,Liverpool,Terminado,1538586000
San Lorenzo,Argentina - Copa Argentina,03/10/18 15:30:00,https://www.academiadasapostasbrasil.com/stats/match/argentina/copa-argentina/estudiantes-de-la-plata/san-lorenzo/2917489,Estudiantes,Terminado,1538591400
Almagro,Argentina - Copa Argentina,03/10/18 18:30:00,https://www.academiadasapostasbrasil.com/stats/match/argentina/copa-argentina/rosario-central/almagro/2917490,Rosario,Terminado,1538602200
Sheff Utd,Inglaterra - Championship,03/10/18 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/championship/blackburn-rovers/sheffield-united/2801646,Blackburn,Terminado,1538581500
Norwich,Inglaterra - Championship,03/10/18 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/championship/derby-county/norwich-city/2801648,Derby,Terminado,1538581500
Millwall,Inglaterra - Championship,03/10/18 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/championship/nottingham-forest/millwall/2801652,Nottm Forest,Terminado,1538581500
Bristol City,Inglaterra - Championship,03/10/18 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/championship/rotherham-united/bristol-city/2801654,Rotherham,Terminado,1538581500
West Bromwich,Inglaterra - Championship,03/10/18 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/championship/sheffield-wednesday/west-bromwich/2801656,Sheff Wed,Terminado,1538581500
Petrojet,Egito - Premier League,03/10/18 10:00:00,https://www.academiadasapostasbrasil.com/stats/match/egito/premier-league/asyouty-sport/petrojet/2895006,Asyouty,Terminado,1538571600
Wadi Degla,Egito - Premier League,03/10/18 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/egito/premier-league/talaea-el-geish/wadi-degla/2894999,Geish,Terminado,1538582400
Flora,Estônia - Meistriliiga,03/10/18 10:00:00,https://www.academiadasapostasbrasil.com/stats/match/estonia/meistriliiga/tammeka/flora-tallinn/2717122,Tammeka,Terminado,1538571600
Tallinna Kalev,Estônia - Meistriliiga,03/10/18 10:00:00,https://www.academiadasapostasbrasil.com/stats/match/estonia/meistriliiga/trans-narva/tallinna-kalev/2717159,Trans,Terminado,1538571600
Kalju,Estônia - Meistriliiga,03/10/18 10:30:00,https://www.academiadasapostasbrasil.com/stats/match/estonia/meistriliiga/levadia-tallinn/nomme-kalju/2717161,Levadia,Terminado,1538573400
Iraklis,Grécia - Copa,03/10/18 07:30:00,https://www.academiadasapostasbrasil.com/stats/match/grecia/copa/thyella-kamari/iraklis-saloniki/2922098,Thyella Kamari,Terminado,1538562600
Larissa,Grécia - Copa,03/10/18 08:30:00,https://www.academiadasapostasbrasil.com/stats/match/grecia/copa/panionios/larisa/2922139,Panionios,Terminado,1538566200
Kielce,Polônia - Puchar Polski,03/10/18 07:00:00,https://www.academiadasapostasbrasil.com/stats/match/polonia/puchar-polski/wisla-sandomierz/korona-kielce/2892511,W Sandomierz,Terminado,1538560800
Raków,Polônia - Puchar Polski,03/10/18 11:00:00,https://www.academiadasapostasbrasil.com/stats/match/polonia/puchar-polski/victoria-sulejowek/rakow-czestochowa/2892500,Victoria Sulejówek,Terminado,1538575200
Spartaks,Letônia - Virsliga,03/10/18 07:00:00,https://www.academiadasapostasbrasil.com/stats/match/letonia/virsliga/valmiera-bss/spartaks-jurmala/2750020,Valmiera/BSS,Terminado,1538560800
Liepāja,Letônia - Virsliga,03/10/18 10:00:00,https://www.academiadasapostasbrasil.com/stats/match/letonia/virsliga/rigas-fs/liepaja/2750011,Rīgas FS,Terminado,1538571600
Kamza,Albânia - Super Liga,03/10/18 05:45:00,https://www.academiadasapostasbrasil.com/stats/match/albania/super-liga/luftetari-gjirokaster/dajti-kamze/2867845,Luftëtari,Terminado,1538556300
Tirana,Albânia - Super Liga,03/10/18 05:45:00,https://www.academiadasapostasbrasil.com/stats/match/albania/super-liga/kastrioti-kruje/tirana/2867848,Kastrioti,Terminado,1538556300
Flamurtari,Albânia - Super Liga,03/10/18 05:45:00,https://www.academiadasapostasbrasil.com/stats/match/albania/super-liga/laci/flamurtari/2867849,Laçi,Terminado,1538556300
Sporting Nampula,Moçambique - Moçambola,03/10/18 07:00:00,https://www.academiadasapostasbrasil.com/stats/match/mocambique/mocambola/ferroviario-beira/sporting-nampula/2904233,Ferro Beira,Terminado,1538560800
Teuta,Albânia - Super Liga,03/10/18 08:45:00,https://www.academiadasapostasbrasil.com/stats/match/albania/super-liga/partizani-tirana/teuta-durres/2867847,Partizani,Terminado,1538567100
Gandzasar,Armênia - Liga,03/10/18 09:00:00,https://www.academiadasapostasbrasil.com/stats/match/armenia/liga/pyunik-yerevan/gandzasar/2856879,Pyunik,Terminado,1538568000
Arrows,África do Sul - Premier Soccer League,03/10/18 11:30:00,https://www.academiadasapostasbrasil.com/stats/match/africa-do-sul/premier-soccer-league/orlando-pirates/golden-arrows/2859032,Pirates,Terminado,1538577000
Free State,África do Sul - Premier Soccer League,03/10/18 11:30:00,https://www.academiadasapostasbrasil.com/stats/match/africa-do-sul/premier-soccer-league/chippa-united/free-state-stars/2859033,Chippa Utd,Terminado,1538577000
Baroka,África do Sul - Premier Soccer League,03/10/18 11:30:00,https://www.academiadasapostasbrasil.com/stats/match/africa-do-sul/premier-soccer-league/black-leopards/baroka/2859034,Leopards,Terminado,1538577000
Mamelodi,África do Sul - Premier Soccer League,03/10/18 11:30:00,https://www.academiadasapostasbrasil.com/stats/match/africa-do-sul/premier-soccer-league/bloemfontein-celtic/mamelodi-sundowns/2859125,Bloemfontein,Terminado,1538577000
