back_team,countrie,datetime,event_link,home_team,status,timestamp
Paysandu,Brasil - Série B,17/08/18 16:15:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/londrina/paysandu/2731229,Londrina,Terminado,1534533300
CRB,Brasil - Série B,17/08/18 17:30:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/vila-nova/crb/2731226,Vila Nova,Terminado,1534537800
Goiás,Brasil - Série B,17/08/18 18:30:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/figueirense/goias/2731224,Figueirense,Terminado,1534541400
Rosario,Argentina - Campeonato Argentino,17/08/18 16:00:00,https://www.academiadasapostasbrasil.com/stats/match/argentina/campeonato-argentino/talleres/rosario-central/2848790,Talleres,Terminado,1534532400
Independiente,Argentina - Campeonato Argentino,17/08/18 18:00:00,https://www.academiadasapostasbrasil.com/stats/match/argentina/campeonato-argentino/newell-s-old-boys/independiente/2848797,NOB,Terminado,1534539600
Guadalajara,México - Primera Division,17/08/18 18:00:00,https://www.academiadasapostasbrasil.com/stats/match/mexico/primera-division/veracruz/chivas-de-guadalajara/2803505,Veracruz,Terminado,1534539600
Morelia,México - Primera Division,17/08/18 20:00:00,https://www.academiadasapostasbrasil.com/stats/match/mexico/primera-division/atlas/monarcas-morelia/2803506,Atlas,Terminado,1534546800
Valladolid,Espanha - Primera Division,17/08/18 12:15:00,https://www.academiadasapostasbrasil.com/stats/match/espanha/primera-division/girona/valladolid/2857024,Girona,Terminado,1534518900
Levante,Espanha - Primera Division,17/08/18 14:15:00,https://www.academiadasapostasbrasil.com/stats/match/espanha/primera-division/betis/levante/2857021,Betis,Terminado,1534526100
Tondela,Portugal - Liga Sagres,17/08/18 13:30:00,https://www.academiadasapostasbrasil.com/stats/match/portugal/liga-sagres/desportivo-aves/tondela/2825918,Aves,Terminado,1534523400
Lyon,França - Ligue 1,17/08/18 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-1/stade-de-reims/lyon/2792232,Reims,Terminado,1534520700
Palestina U23,Ásia - Jogos Asiáticos,17/08/18 03:00:00,https://www.academiadasapostasbrasil.com/stats/match/asia/jogos-asiaticos/hong-kong-u23/palestina-sub23/2868553,Hong Kong U23,Terminado,1534485600
Quirguistão U23,Ásia - Jogos Asiáticos,17/08/18 03:00:00,https://www.academiadasapostasbrasil.com/stats/match/asia/jogos-asiaticos/bahrein-sub23/kyrgyzstan-u23/2868577,Bahrein U23,Terminado,1534485600
Coreia Norte U23,Ásia - Jogos Asiáticos,17/08/18 03:00:00,https://www.academiadasapostasbrasil.com/stats/match/asia/jogos-asiaticos/iran-u23/korea-dpr-u23/2868587,Irã U23,Terminado,1534485600
Indonésia U23,Ásia - Jogos Asiáticos,17/08/18 06:00:00,https://www.academiadasapostasbrasil.com/stats/match/asia/jogos-asiaticos/laos-u23/indonesia-u23/2868554,Laos U23,Terminado,1534496400
Coreia Sul U23,Ásia - Jogos Asiáticos,17/08/18 06:00:00,https://www.academiadasapostasbrasil.com/stats/match/asia/jogos-asiaticos/malaysia-u23/korea-republic-u23/2868578,Malásia U23,Terminado,1534496400
Arábia Saudita U23,Ásia - Jogos Asiáticos,17/08/18 06:00:00,https://www.academiadasapostasbrasil.com/stats/match/asia/jogos-asiaticos/myanmar-sub23/saudi-arabia-u23/2868588,Myanmar U23,Terminado,1534496400
Togo Port,África - Liga dos Campeões da África,17/08/18 10:00:00,https://www.academiadasapostasbrasil.com/stats/match/africa/liga-dos-campeoes-da-africa/horoya/port-de-lome/2759459,Horoya,Terminado,1534510800
Ahly,África - Liga dos Campeões da África,17/08/18 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/africa/liga-dos-campeoes-da-africa/esperance-de-tunis/al-ahly/2759435,Tunis,Terminado,1534521600
Mazembe,África - Liga dos Campeões da África,17/08/18 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/africa/liga-dos-campeoes-da-africa/es-setif/tp-mazembe-englebert/2759447,ES Sétif,Terminado,1534521600
Mamelodi,África - Liga dos Campeões da África,17/08/18 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/africa/liga-dos-campeoes-da-africa/wac-casablanca/mamelodi-sundowns/2759460,Wydad AC,Terminado,1534521600
Palestino,Chile - Primera Division,17/08/18 17:00:00,https://www.academiadasapostasbrasil.com/stats/match/chile/primera-division/audax-italiano/palestino/2788481,Audax,Terminado,1534536000
Temperley,Argentina - Copa Argentina,17/08/18 14:00:00,https://www.academiadasapostasbrasil.com/stats/match/argentina/copa-argentina/deportivo-maipu/temperley/2891399,Maipú,Terminado,1534525200
Swansea,Inglaterra - Championship,17/08/18 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/championship/birmingham-city/swansea-city/2801447,Birmingham,Terminado,1534520700
Almería,Espanha - Liga Adelante,17/08/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/espanha/liga-adelante/cadiz/almeria/2861549,Cádiz,Terminado,1534518000
La Coruña,Espanha - Liga Adelante,17/08/18 14:00:00,https://www.academiadasapostasbrasil.com/stats/match/espanha/liga-adelante/albacete/deportivo-la-coruna/2861541,Albacete,Terminado,1534525200
Mouscron,Bélgica - 1e Klasse,17/08/18 12:30:00,https://www.academiadasapostasbrasil.com/stats/match/belgica/1e-klasse/anderlecht/royal-excel-mouscron/2794779,Anderlecht,Terminado,1534519800
St. Pauli,Alemanha - DFB Pokal,17/08/18 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/alemanha/dfb-pokal/wehen-wiesbaden/st-pauli/2793220,Wiesbaden,Terminado,1534520700
Darmstadt 98,Alemanha - DFB Pokal,17/08/18 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/alemanha/dfb-pokal/magdeburg/darmstadt-98/2793222,Magdeburg,Terminado,1534520700
Schalke 04,Alemanha - DFB Pokal,17/08/18 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/alemanha/dfb-pokal/schweinfurt/schalke-04/2793235,Schweinfurt,Terminado,1534520700
Grenoble,França - Ligue 2,17/08/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-2/gazelec-ajaccio/grenoble/2792626,Gazélec,Terminado,1534518000
Nancy,França - Ligue 2,17/08/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-2/auxerre/nancy/2792627,Auxerre,Terminado,1534518000
Red Star,França - Ligue 2,17/08/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-2/chateauroux/red-star/2792628,Châteauroux,Terminado,1534518000
Clermont,França - Ligue 2,17/08/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-2/le-havre/clermont-foot/2792629,Le Havre,Terminado,1534518000
Valenciennes,França - Ligue 2,17/08/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-2/lorient/valenciennes/2792631,Lorient,Terminado,1534518000
Orléans,França - Ligue 2,17/08/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-2/chamois-niortais/orleans/2792633,Niort,Terminado,1534518000
Béziers,França - Ligue 2,17/08/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-2/paris/beziers/2792634,Paris,Terminado,1534518000
Brest,França - Ligue 2,17/08/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-2/sochaux/brestois/2792635,Sochaux,Terminado,1534518000
Willem II,Holanda - Eredivisie,17/08/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/holanda/eredivisie/groningen/willem-ii/2793936,Groningen,Terminado,1534518000
Sivas,Turquia - Super LIga,17/08/18 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/turquia/super-liga/trabzonspor/sivasspor/2827636,Trabzon,Terminado,1534520700
Chornomorets,Ucrânia - Liga Premier,17/08/18 10:00:00,https://www.academiadasapostasbrasil.com/stats/match/ucrania/liga-premier/arsenal-kyiv/chornomorets-odessa/2793079,Arsenal Kyiv,Terminado,1534510800
Dalkurd,Suécia - Allsvenskan,17/08/18 11:00:00,https://www.academiadasapostasbrasil.com/stats/match/suecia/allsvenskan/sirius/dalkurd/2698589,Sirius,Terminado,1534514400
Osijek,Croácia - 1. HNL,17/08/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/croacia/1-hnl/dinamo-zagreb/osijek/2798654,Dinamo Zagreb,Terminado,1534518000
Slovácko,República Tcheca - Czech Liga,17/08/18 10:30:00,https://www.academiadasapostasbrasil.com/stats/match/republica-tcheca/czech-liga/dukla-praga/slovacko/2802970,Dukla,Terminado,1534512600
Vendsyssel,Dinamarca - Superligaen,17/08/18 11:00:00,https://www.academiadasapostasbrasil.com/stats/match/dinamarca/superligaen/sonderjyske/vendsyssel/2790448,SønderjyskE,Terminado,1534514400
Ismaily,Egito - Premier League,17/08/18 10:00:00,https://www.academiadasapostasbrasil.com/stats/match/egito/premier-league/al-ittihad/ismaily-sc/2865200,Ittihad,Terminado,1534510800
Tulevik,Estônia - Meistriliiga,17/08/18 10:00:00,https://www.academiadasapostasbrasil.com/stats/match/estonia/meistriliiga/trans-narva/tulevik-viljandi/2717119,Trans,Terminado,1534510800
Tammeka,Estônia - Meistriliiga,17/08/18 10:30:00,https://www.academiadasapostasbrasil.com/stats/match/estonia/meistriliiga/kuressaare/tammeka/2717121,Kuressaare,Terminado,1534512600
VPS,Finlândia - Veikkausliiga,17/08/18 09:30:00,https://www.academiadasapostasbrasil.com/stats/match/finlandia/veikkausliiga/turku/vps/2717649,TPS,Terminado,1534509000
MTK,Hungria - NB I,17/08/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/hungria/nb-i/debreceni/hungaria-fc/2808004,Debrecen,Terminado,1534518000
Yeovil,Inglaterra - Liga 2,17/08/18 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/liga-2/notts-county/yeovil-town/2801038,Notts,Terminado,1534520700
Dundalk,Irlanda  - Premier League,17/08/18 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/irlanda-/premier-league/bray-wanderers/dundalk/2702582,Bray,Terminado,1534520700
Waterford Utd,Irlanda  - Premier League,17/08/18 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/irlanda-/premier-league/derry-city/waterford-united/2702584,Derry,Terminado,1534520700
Sligo,Irlanda  - Premier League,17/08/18 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/irlanda-/premier-league/limerick/sligo-rovers/2702586,Limerick,Terminado,1534520700
Bohemians,Irlanda  - Premier League,17/08/18 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/irlanda-/premier-league/shamrock-rovers/bohemians/2702585,Shamrock,Terminado,1534521600
