back_team,countrie,datetime,event_link,home_team,status,timestamp
Rennes,Mundo - Amistosos,03/08/18 11:30:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/borussia-dortmund/rennes/2805439,Dortmund,Terminado,1533306600
Guarani,Brasil - Série B,03/08/18 16:15:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/londrina/guarani/2731209,Londrina,Terminado,1533323700
Boa,Brasil - Série B,03/08/18 17:30:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/oeste/boa/2731202,Oeste,Terminado,1533328200
Juventude,Brasil - Série B,03/08/18 18:30:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/csa/juventude/2731208,CSA,Terminado,1533331800
Morelia,México - Primera Division,03/08/18 18:00:00,https://www.academiadasapostasbrasil.com/stats/match/mexico/primera-division/veracruz/monarcas-morelia/2803487,Veracruz,Terminado,1533330000
Pumas,México - Primera Division,03/08/18 20:00:00,https://www.academiadasapostasbrasil.com/stats/match/mexico/primera-division/atlas/pumas/2803488,Atlas,Terminado,1533337200
Palestino,Chile - Primera Division,03/08/18 18:00:00,https://www.academiadasapostasbrasil.com/stats/match/chile/primera-division/union-la-calera/palestino/2788466,La Calera,Terminado,1533330000
Tucumán,Argentina - Copa Argentina,03/08/18 18:00:00,https://www.academiadasapostasbrasil.com/stats/match/argentina/copa-argentina/huracan/atletico-tucuman/2867785,Huracán,Terminado,1533330000
Derby,Inglaterra - Championship,03/08/18 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/championship/reading/derby-county/2801396,Reading,Terminado,1533312000
Standard,Bélgica - 1e Klasse,03/08/18 12:30:00,https://www.academiadasapostasbrasil.com/stats/match/belgica/1e-klasse/waasland-beveren/standard-de-liege/2794763,WB,Terminado,1533310200
Holstein,Alemanha - 2. Liga,03/08/18 12:30:00,https://www.academiadasapostasbrasil.com/stats/match/alemanha/2-liga/hamburgo/holstein-kiel/2811216,Hamburg,Terminado,1533310200
Gazélec,França - Ligue 2,03/08/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-2/auxerre/gazelec-ajaccio/2792606,Auxerre,Terminado,1533308400
Ajaccio,França - Ligue 2,03/08/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-2/beziers/ajaccio/2792607,Béziers,Terminado,1533308400
Grenoble,França - Ligue 2,03/08/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-2/le-havre/grenoble/2792609,Le Havre,Terminado,1533308400
Orléans,França - Ligue 2,03/08/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-2/metz/orleans/2792611,Metz,Terminado,1533308400
Clermont,França - Ligue 2,03/08/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-2/chamois-niortais/clermont-foot/2792612,Niort,Terminado,1533308400
Nancy,França - Ligue 2,03/08/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-2/paris/nancy/2792613,Paris,Terminado,1533308400
Valenciennes,França - Ligue 2,03/08/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-2/sochaux/valenciennes/2792614,Sochaux,Terminado,1533308400
Brest,França - Ligue 2,03/08/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-2/troyes/brestois/2792615,Troyes,Terminado,1533308400
Shakhtar D,Ucrânia - Liga Premier,03/08/18 10:00:00,https://www.academiadasapostasbrasil.com/stats/match/ucrania/liga-premier/dynamo-kiev/shakhtar-donetsk/2793069,Dynamo Kyiv,Terminado,1533301200
Inter,Croácia - 1. HNL,03/08/18 10:30:00,https://www.academiadasapostasbrasil.com/stats/match/croacia/1-hnl/rijeka/inter-zapresic/2798686,Rijeka,Terminado,1533303000
Istra,Croácia - 1. HNL,03/08/18 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/croacia/1-hnl/dinamo-zagreb/istra-1961/2798689,Dinamo Zagreb,Terminado,1533312000
Opava,República Tcheca - Czech Liga,03/08/18 10:30:00,https://www.academiadasapostasbrasil.com/stats/match/republica-tcheca/czech-liga/slavia-praga/opava/2802957,Slavia,Terminado,1533303000
SønderjyskE,Dinamarca - Superligaen,03/08/18 10:00:00,https://www.academiadasapostasbrasil.com/stats/match/dinamarca/superligaen/aarhus/sonderjyske/2790429,AGF,Terminado,1533301200
Smouha,Egito - Premier League,03/08/18 10:00:00,https://www.academiadasapostasbrasil.com/stats/match/egito/premier-league/misr-lel-makasa/smouha/2849104,Makasa,Terminado,1533301200
Asyouty,Egito - Premier League,03/08/18 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/egito/premier-league/enppi/asyouty-sport/2849105,ENPPI,Terminado,1533312000
Vaprus,Estônia - Meistriliiga,03/08/18 10:30:00,https://www.academiadasapostasbrasil.com/stats/match/estonia/meistriliiga/tulevik-viljandi/vaprus/2717107,Tulevik,Terminado,1533303000
VPS,Finlândia - Veikkausliiga,03/08/18 11:00:00,https://www.academiadasapostasbrasil.com/stats/match/finlandia/veikkausliiga/sjk/vps/2717637,SJK,Terminado,1533304800
Limerick,Irlanda  - Premier League,03/08/18 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/irlanda-/premier-league/bohemians/limerick/2702577,Bohemians,Terminado,1533311100
Bray,Irlanda  - Premier League,03/08/18 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/irlanda-/premier-league/st-patricks-athletic/bray-wanderers/2702579,St. Pat's,Terminado,1533311100
Sligo,Irlanda  - Premier League,03/08/18 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/irlanda-/premier-league/derry-city/sligo-rovers/2702581,Derry,Terminado,1533311100
Cork,Irlanda  - Premier League,03/08/18 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/irlanda-/premier-league/waterford-united/cork-city/2702580,Waterford Utd,Terminado,1533312000
Libertad,Paraguai - Division Profesional,03/08/18 14:50:00,https://www.academiadasapostasbrasil.com/stats/match/paraguai/division-profesional/independiente-fbc/libertad/2825123,Independiente,Terminado,1533318600
Sol América,Paraguai - Division Profesional,03/08/18 17:00:00,https://www.academiadasapostasbrasil.com/stats/match/paraguai/division-profesional/cerro-porteno/sol-de-america/2825119,Cerro Porteño,Terminado,1533326400
Kielce,Polônia - Ekstraklasa,03/08/18 10:00:00,https://www.academiadasapostasbrasil.com/stats/match/polonia/ekstraklasa/wisla-plock/korona-kielce/2791618,Wisła Płock,Terminado,1533301200
Pogoń,Polônia - Ekstraklasa,03/08/18 12:30:00,https://www.academiadasapostasbrasil.com/stats/match/polonia/ekstraklasa/zaglebie-sosnowiec/pogon-szczecin/2791619,Z Sosnowiec,Terminado,1533310200
Leones,México - Primera A,03/08/18 18:00:00,https://www.academiadasapostasbrasil.com/stats/match/mexico/primera-a/potros-uaem/universidad-guadalajara/2803966,UAEM Potros,Terminado,1533330000
Venados,México - Primera A,03/08/18 19:00:00,https://www.academiadasapostasbrasil.com/stats/match/mexico/primera-a/atletico-san-luis/venados/2803967,A San Luis,Terminado,1533333600
Cafetaleros,México - Primera A,03/08/18 19:08:00,https://www.academiadasapostasbrasil.com/stats/match/mexico/primera-a/correcaminos-uat/cafetaleros-de-tapachula/2803968,Correcaminos,Terminado,1533334080
Rubin,Rússia - Premier League,03/08/18 10:30:00,https://www.academiadasapostasbrasil.com/stats/match/russia/premier-league/dinamo-moscou/rubin-kazan/2805149,Dinamo M,Terminado,1533303000
Mačva,Sérvia - Super Liga,03/08/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/servia/super-liga/cukaricki/macva-sabac/2797019,Čukarički,Terminado,1533308400
Botoşani,Romênia - Liga I,03/08/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/romenia/liga-i/cs-u-craiova/botosani/2822201,CS U Craiova,Terminado,1533308400
Aus Klagenfurt,Áustria - 1. Liga,03/08/18 11:10:00,https://www.academiadasapostasbrasil.com/stats/match/austria/1-liga/blau-weiss-linz/austria-klagenfurt/2802675,BW Linz,Terminado,1533305400
Vorwärts,Áustria - 1. Liga,03/08/18 11:10:00,https://www.academiadasapostasbrasil.com/stats/match/austria/1-liga/liefering/vorwarts/2802676,Liefering,Terminado,1533305400
Pasching/LASK,Áustria - 1. Liga,03/08/18 11:10:00,https://www.academiadasapostasbrasil.com/stats/match/austria/1-liga/lafnitz/fc-pasching-lask-juniors/2802678,Lafnitz,Terminado,1533305400
Horn,Áustria - 1. Liga,03/08/18 11:10:00,https://www.academiadasapostasbrasil.com/stats/match/austria/1-liga/austria-wien-ii/horn/2802679,Austria II,Terminado,1533305400
Kapfenberg,Áustria - 1. Liga,03/08/18 12:20:00,https://www.academiadasapostasbrasil.com/stats/match/austria/1-liga/floridsdorfer-ac/kapfenberg/2802680,FAC,Terminado,1533309600
Etar,Bulgária - A PFG,03/08/18 09:30:00,https://www.academiadasapostasbrasil.com/stats/match/bulgaria/a-pfg/botev-plovdiv/etar/2798445,Botev,Terminado,1533299400
Beroe,Bulgária - A PFG,03/08/18 11:45:00,https://www.academiadasapostasbrasil.com/stats/match/bulgaria/a-pfg/vereya/beroe/2798444,Vereya,Terminado,1533307500
AZ,Mundo - Amistosos,03/08/18 03:30:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/psv-ii/az-ii/2872897,PSV II,Terminado,1533277800
Wolfsburg,Mundo - Amistosos,03/08/18 04:00:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/amiens/wolfsburg/2808849,Amiens,Cancelado,1533279600
Cardiff,Mundo - Amistosos,03/08/18 05:00:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/amiens/cardiff-city/2869535,Amiens,Terminado,1533283200
Almere,Mundo - Amistosos,03/08/18 06:30:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/utrecht-ii/omniworld/2799562,Utrecht,Terminado,1533288600
Huddersfield,Mundo - Amistosos,03/08/18 09:00:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/rb-leipzig/huddersfield-town/2808364,Leipzig,Terminado,1533297600
Wolfsburg,Mundo - Amistosos,03/08/18 10:00:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/ajax/wolfsburg/2845294,Ajax,Terminado,1533301200
Doxa,Mundo - Amistosos,03/08/18 10:00:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/enosis-neon-paralimni/doxa/2872667,Enosis,Terminado,1533301200
