back_team,countrie,datetime,event_link,home_team,status,timestamp
Corinthians,Brasil - Brasileirão Série A,21/07/18 18:00:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/sao-paulo/corinthians/2729373,São Paulo,Terminado,1532206800
PSG,Mundo - International Champions Cup,21/07/18 08:05:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/international-champions-cup/bayern-munique/paris-saint-germain/2780205,Bayern München,Terminado,1532171100
Monaco,Mundo - Amistosos,21/07/18 08:00:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/paderborn/monaco/2795114,Paderborn,Terminado,1532170800
Benfica,Mundo - Amistosos,21/07/18 10:05:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/sevilla/benfica/2780138,Sevilla,Terminado,1532178300
Zenit,Mundo - Amistosos,21/07/18 12:15:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/internazionale/zenit-st-petersburg/2831647,Inter,Terminado,1532186100
Botafogo,Brasil - Brasileirão Série A,21/07/18 16:00:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/flamengo/botafogo/2729372,Flamengo,Terminado,1532199600
CRB,Brasil - Série B,21/07/18 13:30:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/juventude/crb/2731173,Juventude,Terminado,1532190600
São Bento,Brasil - Série B,21/07/18 13:30:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/coritiba/sao-bento/2731179,Coritiba,Terminado,1532190600
Paysandu,Brasil - Série B,21/07/18 16:00:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/oeste/paysandu/2731172,Oeste,Terminado,1532199600
Ponte Preta,Brasil - Série B,21/07/18 16:00:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/boa/ponte-preta/2731177,Boa,Terminado,1532199600
Puebla,México - Primera Division,21/07/18 16:00:00,https://www.academiadasapostasbrasil.com/stats/match/mexico/primera-division/cruz-azul/puebla/2803471,Cruz Azul,Terminado,1532199600
Monterrey,México - Primera Division,21/07/18 18:00:00,https://www.academiadasapostasbrasil.com/stats/match/mexico/primera-division/pachuca/rayados-de-monterrey/2803472,Pachuca,Terminado,1532206800
León,México - Primera Division,21/07/18 20:00:00,https://www.academiadasapostasbrasil.com/stats/match/mexico/primera-division/tigres/leon/2803473,Tigres,Terminado,1532214000
Guadalajara,México - Primera Division,21/07/18 20:00:00,https://www.academiadasapostasbrasil.com/stats/match/mexico/primera-division/tijuana/chivas-de-guadalajara/2803474,Tijuana,Terminado,1532214000
Colo Colo,Chile - Primera Division,21/07/18 10:00:00,https://www.academiadasapostasbrasil.com/stats/match/chile/primera-division/union-la-calera/colo-colo/2788446,La Calera,Terminado,1532178000
Antofagasta,Chile - Primera Division,21/07/18 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/chile/primera-division/deportes-temuco/antofagasta/2788448,Temuco,Terminado,1532188800
Iquique,Chile - Primera Division,21/07/18 15:30:00,https://www.academiadasapostasbrasil.com/stats/match/chile/primera-division/univ-catolica/deportes-iquique/2788447,Univ Católica,Terminado,1532197800
Audax,Chile - Primera Division,21/07/18 18:00:00,https://www.academiadasapostasbrasil.com/stats/match/chile/primera-division/union-espanola/audax-italiano/2788450,Española,Terminado,1532206800
Uni San Martín,Peru - Primera Division,21/07/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/peru/primera-division/deportivo-binacional/univ-san-martin/2716448,Binacional,Terminado,1532185200
Unión Comercio,Peru - Primera Division,21/07/18 14:30:00,https://www.academiadasapostasbrasil.com/stats/match/peru/primera-division/ayacucho/union-comercio/2716445,Ayacucho,Terminado,1532194200
Academia Cantolao,Peru - Primera Division,21/07/18 16:45:00,https://www.academiadasapostasbrasil.com/stats/match/peru/primera-division/sport-rosario/academia-cantolao/2716446,Sport Rosario,Terminado,1532202300
Universitario,Peru - Primera Division,21/07/18 19:00:00,https://www.academiadasapostasbrasil.com/stats/match/peru/primera-division/sport-huancayo/universitario-lima/2716447,Huancayo,Terminado,1532210400
Cerro,Uruguai - Primera Division,21/07/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/uruguai/primera-division/liverpool-montevideo/cerro/2724774,Liverpool,Terminado,1532185200
River Plate,Uruguai - Primera Division,21/07/18 12:20:00,https://www.academiadasapostasbrasil.com/stats/match/uruguai/primera-division/boston-river/river-plate-montevideo/2724776,Boston River,Terminado,1532186400
Racing,Uruguai - Primera Division,21/07/18 14:55:00,https://www.academiadasapostasbrasil.com/stats/match/uruguai/primera-division/penarol/racing/2724777,Peñarol,Terminado,1532195700
Wanderers,Uruguai - Primera Division,21/07/18 18:00:00,https://www.academiadasapostasbrasil.com/stats/match/uruguai/primera-division/el-tanque-sisley/wanderers/2724775,Tanque Sisley,Cancelado,1532206800
Brown Adrogué,Argentina - Copa Argentina,21/07/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/argentina/copa-argentina/san-martin-de-san-juan/brown-de-adrogue/2793837,San Martín SJ,Terminado,1532185200
Belgrano,Argentina - Copa Argentina,21/07/18 14:30:00,https://www.academiadasapostasbrasil.com/stats/match/argentina/copa-argentina/gimnasia-y-esgrima/sportivo-belgrano/2793849,Gimn La Plata,Terminado,1532194200
Morón,Argentina - Copa Argentina,21/07/18 17:10:00,https://www.academiadasapostasbrasil.com/stats/match/argentina/copa-argentina/colon/deportivo-moron/2785126,Colón,Terminado,1532203800
Bristol Rovers,Mundo - Amistosos,21/07/18 08:00:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/forest-green-rovers/bristol-rovers/2795154,Forest Green,Terminado,1532170800
Fleetwood,Mundo - Amistosos,21/07/18 08:00:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/tranmere-rovers/fleetwood-town/2795658,Tranmere,Terminado,1532170800
Gillingham,Mundo - Amistosos,21/07/18 08:00:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/dover-athletic/gillingham/2795663,Dover,Terminado,1532170800
Brentford,Mundo - Amistosos,21/07/18 08:00:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/shrewsbury-town/brentford/2797491,Shrewsbury,Terminado,1532170800
Landskrona,Mundo - Amistosos,21/07/18 08:00:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/lyngby/landskrona/2799090,Lyngby,Terminado,1532170800
Millwall,Mundo - Amistosos,21/07/18 08:00:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistosos/cambridge-united/millwall/2800043,Cambridge Utd,Terminado,1532170800
