back_team,countrie,datetime,event_link,home_team,status,timestamp
São Paulo,Brasil - Brasileirão Série A,27/08/17 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/palmeiras/sao-paulo/2419178,Palmeiras,Terminado,1503849600
Santos,Brasil - Brasileirão Série A,27/08/17 16:00:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/cruzeiro/santos/2419180,Cruzeiro,Terminado,1503860400
Everton,Inglaterra - Barclays Premier League,27/08/17 06:30:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/barclays-premier-league/chelsea/everton/2462815,Chelsea,Terminado,1503826200
Arsenal,Inglaterra - Barclays Premier League,27/08/17 09:00:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/barclays-premier-league/liverpool/arsenal/2462818,Liverpool,Terminado,1503835200
Valência,Espanha - Primera Division,27/08/17 14:15:00,https://www.academiadasapostasbrasil.com/stats/match/espanha/primera-division/real-madrid/valencia/2529256,Real Madrid,Terminado,1503854100
Porto,Portugal - Liga Sagres,27/08/17 13:15:00,https://www.academiadasapostasbrasil.com/stats/match/portugal/liga-sagres/braga/porto/2501814,Braga,Terminado,1503850500
Marseille,França - Ligue 1,27/08/17 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-1/monaco/olympique-de-marseille/2464941,Monaco,Terminado,1503849600
Cagliari,Itália - Serie A TIM,27/08/17 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/italia/serie-a-tim/milan/cagliari/2538792,Milan,Terminado,1503848700
Atlético PR,Brasil - Brasileirão Série A,27/08/17 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/flamengo/atletico-pr/2419177,Flamengo,Terminado,1503849600
Botafogo,Brasil - Brasileirão Série A,27/08/17 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/bahia/botafogo/2419183,Bahia,Terminado,1503849600
Atlético MG,Brasil - Brasileirão Série A,27/08/17 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/ponte-preta/atletico-mg/2419184,Ponte Preta,Terminado,1503849600
Chapecoense,Brasil - Brasileirão Série A,27/08/17 16:00:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/avai/chapecoense/2419185,Avaí,Terminado,1503860400
Patronato,Argentina - Campeonato Argentino,27/08/17 08:05:00,https://www.academiadasapostasbrasil.com/stats/match/argentina/campeonato-argentino/san-martin-de-san-juan/patronato/2564742,San Martín SJ,Terminado,1503831900
Godoy Cruz,Argentina - Campeonato Argentino,27/08/17 11:05:00,https://www.academiadasapostasbrasil.com/stats/match/argentina/campeonato-argentino/atletico-tucuman/godoy-cruz/2564739,Tucumán,Terminado,1503842700
Racing,Argentina - Campeonato Argentino,27/08/17 13:05:00,https://www.academiadasapostasbrasil.com/stats/match/argentina/campeonato-argentino/san-lorenzo/racing/2564745,San Lorenzo,Terminado,1503849900
Olimpo,Argentina - Campeonato Argentino,27/08/17 15:05:00,https://www.academiadasapostasbrasil.com/stats/match/argentina/campeonato-argentino/boca-juniors/olimpo/2564737,Boca,Terminado,1503857100
River Plate,Argentina - Campeonato Argentino,27/08/17 17:05:00,https://www.academiadasapostasbrasil.com/stats/match/argentina/campeonato-argentino/temperley/river-plate/2564744,Temperley,Terminado,1503864300
Puebla,México - Primera Division,27/08/17 11:00:00,https://www.academiadasapostasbrasil.com/stats/match/mexico/primera-division/toluca/puebla/2463717,Toluca,Terminado,1503842400
Pumas,México - Primera Division,27/08/17 17:05:00,https://www.academiadasapostasbrasil.com/stats/match/mexico/primera-division/veracruz/pumas/2463718,Veracruz,Terminado,1503864300
Stoke,Inglaterra - Barclays Premier League,27/08/17 06:30:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/barclays-premier-league/west-bromwich/stoke/2462823,West Bromwich,Terminado,1503826200
Burnley,Inglaterra - Barclays Premier League,27/08/17 09:00:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/barclays-premier-league/tottenham/burnley/2462821,Tottenham,Terminado,1503835200
Leganés,Espanha - Primera Division,27/08/17 10:15:00,https://www.academiadasapostasbrasil.com/stats/match/espanha/primera-division/espanyol/leganes/2529252,Espanyol,Terminado,1503839700
Athletic Club,Espanha - Primera Division,27/08/17 10:15:00,https://www.academiadasapostasbrasil.com/stats/match/espanha/primera-division/eibar/athletic-bilbao/2529259,Eibar,Terminado,1503839700
Sevilla,Espanha - Primera Division,27/08/17 12:15:00,https://www.academiadasapostasbrasil.com/stats/match/espanha/primera-division/getafe/sevilla/2529257,Getafe,Terminado,1503846900
Freiburg,Alemanha - Bundesliga,27/08/17 07:30:00,https://www.academiadasapostasbrasil.com/stats/match/alemanha/bundesliga/rb-leipzig/freiburg/2480273,Leipzig,Terminado,1503829800
Schalke 04,Alemanha - Bundesliga,27/08/17 10:00:00,https://www.academiadasapostasbrasil.com/stats/match/alemanha/bundesliga/hannover/schalke-04/2480279,Hannover,Terminado,1503838800
Aves,Portugal - Liga Sagres,27/08/17 09:00:00,https://www.academiadasapostasbrasil.com/stats/match/portugal/liga-sagres/boavista/desportivo-aves/2501818,Boavista,Terminado,1503835200
Estoril,Portugal - Liga Sagres,27/08/17 11:00:00,https://www.academiadasapostasbrasil.com/stats/match/portugal/liga-sagres/sporting/estoril/2501820,Sporting CP,Terminado,1503842400
Strasbourg,França - Ligue 1,27/08/17 07:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-1/guingamp/strasbourg/2464940,Guingamp,Terminado,1503828000
Lille,França - Ligue 1,27/08/17 09:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-1/angers/lille/2464936,Angers,Terminado,1503835200
Sassuolo,Itália - Serie A TIM,27/08/17 10:00:00,https://www.academiadasapostasbrasil.com/stats/match/italia/serie-a-tim/torino/sassuolo/2538796,Torino,Terminado,1503838800
Lazio,Itália - Serie A TIM,27/08/17 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/italia/serie-a-tim/chievo/lazio/2538788,Chievo,Terminado,1503848700
Verona,Itália - Serie A TIM,27/08/17 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/italia/serie-a-tim/crotone/verona/2538789,Crotone,Terminado,1503848700
Sampdoria,Itália - Serie A TIM,27/08/17 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/italia/serie-a-tim/fiorentina/sampdoria/2538790,Fiorentina,Terminado,1503848700
Atalanta,Itália - Serie A TIM,27/08/17 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/italia/serie-a-tim/napoli/atalanta/2538793,Napoli,Terminado,1503848700
