back_team,countrie,datetime,event_link,home_team,status,timestamp
Sport,Brasil - Brasileirão Série A,24/06/17 16:00:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/santos/sport/2419058,Santos,Terminado,1498330800
Rússia,Mundo - Copa das Confederações,24/06/17 09:00:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/copa-das-confederacoes/mexico/russia/2166014,México,Terminado,1498305600
Portugal,Mundo - Copa das Confederações,24/06/17 09:00:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/copa-das-confederacoes/nova-zelandia/portugal/2166015,Nova Zelândia,Terminado,1498305600
Oeste,Brasil - Série B,24/06/17 13:30:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/ceara/oeste/2419915,Ceará,Terminado,1498321800
Figueirense,Brasil - Série B,24/06/17 13:30:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/santa-cruz/figueirense/2419916,Santa Cruz,Terminado,1498321800
Vila Nova,Brasil - Série B,24/06/17 13:30:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/goias/vila-nova/2419918,Goiás,Terminado,1498321800
Internacional,Brasil - Série B,24/06/17 13:30:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/brasil-de-pelotas/internacional/2419920,Brasil Pelotas,Terminado,1498321800
Juventude,Brasil - Série B,24/06/17 13:30:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/londrina/juventude/2419921,Londrina,Terminado,1498321800
Náutico,Brasil - Série B,24/06/17 16:00:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/guarani/nautico/2419919,Guarani,Terminado,1498330800
Gimn La Plata,Argentina - Campeonato Argentino,24/06/17 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/argentina/campeonato-argentino/defensa-y-justicia/gimnasia-y-esgrima/2328539,Def y Justicia,Terminado,1498320000
Rosario,Argentina - Campeonato Argentino,24/06/17 16:00:00,https://www.academiadasapostasbrasil.com/stats/match/argentina/campeonato-argentino/san-martin-de-san-juan/rosario-central/2328540,San Martín SJ,Terminado,1498330800
Dinamarca U21,Europa - Campeonato UEFA Sub21,24/06/17 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/europa/campeonato-uefa-sub21/republica-checa-sub21/dinamarca-sub21/2378427,Rep Tcheca U21,Terminado,1498319100
Alemanha U21,Europa - Campeonato UEFA Sub21,24/06/17 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/europa/campeonato-uefa-sub21/italia-sub21/alemanha-sub21/2378428,Itália U21,Terminado,1498319100
Juan Aurich,Peru - Primera Division,24/06/17 11:30:00,https://www.academiadasapostasbrasil.com/stats/match/peru/primera-division/ayacucho/juan-aurich/2457517,Ayacucho,Terminado,1498314600
Alianza Atl.,Peru - Primera Division,24/06/17 14:00:00,https://www.academiadasapostasbrasil.com/stats/match/peru/primera-division/deportivo-municipal/alianza-atletico/2457518,Municipal,Terminado,1498323600
Cristal,Peru - Primera Division,24/06/17 19:00:00,https://www.academiadasapostasbrasil.com/stats/match/peru/primera-division/melgar/sporting-cristal/2457519,Melgar,Terminado,1498341600
Fénix,Uruguai - Primera Division,24/06/17 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/uruguai/primera-division/rampla-juniors/fenix/2453241,Rampla Juniors,Terminado,1498316400
Racing,Uruguai - Primera Division,24/06/17 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/uruguai/primera-division/danubio/racing/2453261,Danubio,Terminado,1498316400
Plaza Colonia,Uruguai - Primera Division,24/06/17 15:00:00,https://www.academiadasapostasbrasil.com/stats/match/uruguai/primera-division/penarol/plaza-colonia/2453242,Peñarol,Terminado,1498327200
Tenerife,Espanha - Liga Adelante,24/06/17 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/espanha/liga-adelante/getafe/tenerife/2466194,Getafe,Terminado,1498320000
NYCFC,Estados Unidos - Major League Soccer,24/06/17 11:30:00,https://www.academiadasapostasbrasil.com/stats/match/estados-unidos/major-league-soccer/new-york-rb/new-york-city/2394158,New York,Terminado,1498314600
Colorado,Estados Unidos - Major League Soccer,24/06/17 17:00:00,https://www.academiadasapostasbrasil.com/stats/match/estados-unidos/major-league-soccer/atlanta-united/colorado-rapids/2394153,Atlanta United,Terminado,1498334400
DC United,Estados Unidos - Major League Soccer,24/06/17 17:00:00,https://www.academiadasapostasbrasil.com/stats/match/estados-unidos/major-league-soccer/philadelphia-union/dc-united/2394159,Philadelphia,Terminado,1498334400
Montreal,Estados Unidos - Major League Soccer,24/06/17 17:30:00,https://www.academiadasapostasbrasil.com/stats/match/estados-unidos/major-league-soccer/columbus-crew/montreal-impact/2394155,Columbus,Terminado,1498336200
Whitecaps,Estados Unidos - Major League Soccer,24/06/17 18:00:00,https://www.academiadasapostasbrasil.com/stats/match/estados-unidos/major-league-soccer/minnesota-united/whitecaps/2394157,Minnesota,Terminado,1498338000
Orlando,Estados Unidos - Major League Soccer,24/06/17 18:30:00,https://www.academiadasapostasbrasil.com/stats/match/estados-unidos/major-league-soccer/chicago-fire/orlando-city/2394154,Chicago,Terminado,1498339800
Sporting KC,Estados Unidos - Major League Soccer,24/06/17 20:30:00,https://www.academiadasapostasbrasil.com/stats/match/estados-unidos/major-league-soccer/los-angeles-galaxy/kansas-city-wizards/2394156,Galaxy,Terminado,1498347000
Salt Lake,Estados Unidos - Major League Soccer,24/06/17 20:30:00,https://www.academiadasapostasbrasil.com/stats/match/estados-unidos/major-league-soccer/sj-earthquakes/real-salt-lake/2394160,Earthquakes,Terminado,1498347000
