back_team,countrie,datetime,event_link,home_team,status,timestamp
Slavia,Europa - Liga dos Campeões da UEFA,17/09/19 10:55:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-dos-campeoes-da-uefa/internazionale/slavia-praga/3160553,Inter,Terminado,1568728500
Valência,Europa - Liga dos Campeões da UEFA,17/09/19 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-dos-campeoes-da-uefa/chelsea/valencia/3160546,Chelsea,Terminado,1568736000
Leipzig,Europa - Liga dos Campeões da UEFA,17/09/19 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-dos-campeoes-da-uefa/benfica/rb-leipzig/3160550,Benfica,Terminado,1568736000
Barcelona,Europa - Liga dos Campeões da UEFA,17/09/19 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-dos-campeoes-da-uefa/borussia-dortmund/barcelona/3160554,Dortmund,Terminado,1568736000
Liverpool,Europa - Liga dos Campeões da UEFA,17/09/19 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-dos-campeoes-da-uefa/napoli/liverpool/3160557,Napoli,Terminado,1568736000
Botafogo SP,Brasil - Série B,17/09/19 16:15:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/vila-nova/botafogo-sp/2988097,Vila Nova,Terminado,1568747700
Vitória,Brasil - Série B,17/09/19 18:30:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/sao-bento/vitoria/2988096,São Bento,Terminado,1568755800
Zenit,Europa - Liga dos Campeões da UEFA,17/09/19 10:55:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-dos-campeoes-da-uefa/lyon/zenit-st-petersburg/3160549,Lyon,Terminado,1568728500
Lille,Europa - Liga dos Campeões da UEFA,17/09/19 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-dos-campeoes-da-uefa/ajax/lille/3160547,Ajax,Terminado,1568736000
Genk,Europa - Liga dos Campeões da UEFA,17/09/19 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-dos-campeoes-da-uefa/salzburg/genk/3160558,Salzburg,Terminado,1568736000
Shanghai SIPG,Ásia - Liga dos Campeões da Ásia,17/09/19 04:30:00,https://www.academiadasapostasbrasil.com/stats/match/asia/liga-dos-campeoes-da-asia/urawa-red-diamonds/shanghai-sipg/2942580,Urawa,Terminado,1568705400
Ittihad,Ásia - Liga dos Campeões da Ásia,17/09/19 11:00:00,https://www.academiadasapostasbrasil.com/stats/match/asia/liga-dos-campeoes-da-asia/al-hilal/al-ittihad/2942585,Hilal,Terminado,1568728800
Girona,Espanha - Liga Adelante,17/09/19 11:00:00,https://www.academiadasapostasbrasil.com/stats/match/espanha/liga-adelante/almeria/girona/3059969,Almería,Terminado,1568728800
Vallecano,Espanha - Liga Adelante,17/09/19 11:00:00,https://www.academiadasapostasbrasil.com/stats/match/espanha/liga-adelante/malaga/rayo-vallecano/3059976,Málaga,Terminado,1568728800
Mirandés,Espanha - Liga Adelante,17/09/19 11:00:00,https://www.academiadasapostasbrasil.com/stats/match/espanha/liga-adelante/racing-santander/mirandes/3059978,Santander,Terminado,1568728800
Cádiz,Espanha - Liga Adelante,17/09/19 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/espanha/liga-adelante/alcorcon/cadiz/3059968,Alcorcón,Terminado,1568736000
Petrolera,Colômbia - Primera División,17/09/19 18:30:00,https://www.academiadasapostasbrasil.com/stats/match/colombia/primera-division/deportivo-cali/alianza-petrolera/2964415,Cali,Terminado,1568755800
Kalju,Estônia - Meistriliiga,17/09/19 08:45:00,https://www.academiadasapostasbrasil.com/stats/match/estonia/meistriliiga/tulevik-viljandi/nomme-kalju/2970860,Tulevik,Terminado,1568720700
Kuressaare,Estônia - Meistriliiga,17/09/19 10:30:00,https://www.academiadasapostasbrasil.com/stats/match/estonia/meistriliiga/tallinna-kalev/kuressaare/2970861,Tallinna Kalev,Terminado,1568727000
Aiolikos,Grécia - Copa,17/09/19 07:00:00,https://www.academiadasapostasbrasil.com/stats/match/grecia/copa/pansamiakos-vathyllou/aiolikos/3130413,Pansamiakos Vathyllou,Terminado,1568714400
