back_team,countrie,datetime,event_link,home_team,status,timestamp
Avaí,Brasil - Brasileirão Série A,11/11/19 17:00:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/botafogo/avai/2989232,Botafogo,Terminado,1573502400
América MG,Brasil - Série B,11/11/19 19:00:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/cuiaba/america-mineiro/2988223,Cuiabá,Terminado,1573509600
Portsmouth,Inglaterra - Copa FA,11/11/19 14:40:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/copa-fa/harrogate-town/portsmouth/3180655,Harrogate,Terminado,1573494000
Aue,Alemanha - 2. Liga,11/11/19 13:30:00,https://www.academiadasapostasbrasil.com/stats/match/alemanha/2-liga/karlsruher/erzgebirge-aue/3047443,Karlsruhe,Terminado,1573489800
Lens,França - Ligue 2,11/11/19 13:45:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-2/rodez-/lens/3031150,Rodez,Terminado,1573490700
Lamia,Grécia - Super Liga,11/11/19 11:30:00,https://www.academiadasapostasbrasil.com/stats/match/grecia/super-liga/larisa/lamia/3051932,Larissa,Terminado,1573482600
General Díaz,Paraguai - Division Profesional,11/11/19 15:00:00,https://www.academiadasapostasbrasil.com/stats/match/paraguai/division-profesional/libertad/general-diaz/2949617,Libertad,Terminado,1573495200
Olimpia,Paraguai - Division Profesional,11/11/19 17:00:00,https://www.academiadasapostasbrasil.com/stats/match/paraguai/division-profesional/deportivo-santani/olimpia/2949620,Santaní,Terminado,1573502400
Defensores Bel,Argentina - Primera B Nacional,11/11/19 12:30:00,https://www.academiadasapostasbrasil.com/stats/match/argentina/primera-b-nacional/deportivo-riestra/defensores-de-belgrano/3120256,Riestra,Terminado,1573486200
Tigre,Argentina - Primera B Nacional,11/11/19 15:15:00,https://www.academiadasapostasbrasil.com/stats/match/argentina/primera-b-nacional/chacarita-juniors/tigre/3120255,Chacarita,Terminado,1573496100
Dunav,Bulgária - A PFG,11/11/19 09:30:00,https://www.academiadasapostasbrasil.com/stats/match/bulgaria/a-pfg/tsarsko-selo/dunav-2010/3032816,Tsarsko selo,Terminado,1573475400
Crusaders,Irlanda do Norte - IFA Premiership,11/11/19 13:45:00,https://www.academiadasapostasbrasil.com/stats/match/irlanda-do-norte/ifa-premiership/larne/crusaders/3044287,Larne,Terminado,1573490700
Braunschweig,Alemanha - 3. Liga,11/11/19 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/alemanha/3-liga/preussen-06-munster/eintracht-braunschweig/3053280,Münster,Terminado,1573484400
Inter Playa del Carmen,México - Segunda División,11/11/19 17:00:00,https://www.academiadasapostasbrasil.com/stats/match/mexico/segunda-division/reboceros-la-piedad/inter-playa-del-carmen/3128003,Reboceros,Terminado,1573502400
Faisaly,Arábia Saudita - King Cup,11/11/19 09:20:00,https://www.academiadasapostasbrasil.com/stats/match/arabia-saudita/king-cup/wajj/al-faysaly-al-majmaah/3178036,Wajj,Terminado,1573474800
Arsenal,Inglaterra - Troféus LDV Vans,11/11/19 18:00:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/trofeus-ldv-vans/northampton-town/arsenal-u21/3106544,Northampton,Adiado,1573506000
Everton,Inglaterra - Troféus LDV Vans,11/11/19 18:00:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/trofeus-ldv-vans/crewe-alexandra/everton-u21/3106552,Crewe,Adiado,1573506000
