back_team,countrie,datetime,event_link,home_team,status,timestamp
Avaí,Brasil - Brasileirão Série A,11/11/17 16:00:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/corinthians/avai/2419299,Corinthians,Terminado,1510426800
Argentina,Mundo - Amistoso,11/11/17 08:00:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistoso/russia/argentina/2427001,Rússia,Terminado,1510398000
Costa Rica,Mundo - Amistoso,11/11/17 15:30:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/amistoso/espanha/costa-rica/2632083,Espanha,Terminado,1510425000
Atlético PR,Brasil - Brasileirão Série A,11/11/17 14:00:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/botafogo/atletico-pr/2419296,Botafogo,Terminado,1510419600
Vila Nova,Brasil - Série B,11/11/17 13:30:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/internacional/vila-nova/2420181,Internacional,Terminado,1510417800
Londrina,Brasil - Série B,11/11/17 14:30:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/nautico/londrina/2420173,Náutico,Terminado,1510421400
América MG,Brasil - Série B,11/11/17 14:30:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/figueirense/america-mineiro/2420174,Figueirense,Terminado,1510421400
Ceará,Brasil - Série B,11/11/17 14:30:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/goias/ceara/2420175,Goiás,Terminado,1510421400
Santa Cruz,Brasil - Série B,11/11/17 14:30:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/boa/santa-cruz/2420179,Boa,Terminado,1510421400
CRB,Brasil - Série B,11/11/17 16:00:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/guarani/crb/2420176,Guarani,Terminado,1510426800
Brasil Pelotas,Brasil - Série B,11/11/17 16:00:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/serie-b/paysandu/brasil-de-pelotas/2420180,Paysandu,Terminado,1510426800
Irlanda,Europa - Eliminatórias para a Copa do Mundo - Europa,11/11/17 14:45:00,https://www.academiadasapostasbrasil.com/stats/match/europa/eliminatorias-para-a-copa-do-mundo-europa/dinamarca/irlanda/2637999,Dinamarca,Terminado,1510422300
Peru,Mundo - Play-Off Intercontinental Classificatório para a C,10/11/17 22:15:00,https://www.academiadasapostasbrasil.com/stats/match/mundo/play-off-intercontinental-classificatorio-para-a-c/nova-zelandia/peru/2629835,Nova Zelândia,Terminado,1510362900
Camarões,África - Eliminatórias para a Copa do Mundo - África,11/11/17 08:00:00,https://www.academiadasapostasbrasil.com/stats/match/africa/eliminatorias-para-a-copa-do-mundo-africa/zambia/camaroes/2279620,Zâmbia,Terminado,1510398000
Mali,África - Eliminatórias para a Copa do Mundo - África,11/11/17 09:30:00,https://www.academiadasapostasbrasil.com/stats/match/africa/eliminatorias-para-a-copa-do-mundo-africa/gabao/mali/2279633,Gabão,Terminado,1510403400
Guiné,África - Eliminatórias para a Copa do Mundo - África,11/11/17 12:30:00,https://www.academiadasapostasbrasil.com/stats/match/africa/eliminatorias-para-a-copa-do-mundo-africa/rd-congo/guine/2279608,RD Congo,Terminado,1510414200
Líbia,África - Eliminatórias para a Copa do Mundo - África,11/11/17 12:30:00,https://www.academiadasapostasbrasil.com/stats/match/africa/eliminatorias-para-a-copa-do-mundo-africa/tunisia/libia/2279609,Tunísia,Terminado,1510414200
Marrocos,África - Eliminatórias para a Copa do Mundo - África,11/11/17 12:30:00,https://www.academiadasapostasbrasil.com/stats/match/africa/eliminatorias-para-a-copa-do-mundo-africa/costa-do-marfim/marrocos/2279632,Costa Marfim,Terminado,1510414200
São Marino U21,Europa - Campeonato UEFA Sub21,11/11/17 09:30:00,https://www.academiadasapostasbrasil.com/stats/match/europa/campeonato-uefa-sub21/republica-checa-sub21/sao-marino-sub21/2416083,Rep Tcheca U21,Terminado,1510403400
Plaza Colonia,Uruguai - Primera Division,11/11/17 15:00:00,https://www.academiadasapostasbrasil.com/stats/match/uruguai/primera-division/cerro/plaza-colonia/2559985,Cerro,Terminado,1510423200
Danubio,Uruguai - Primera Division,11/11/17 15:00:00,https://www.academiadasapostasbrasil.com/stats/match/uruguai/primera-division/river-plate-montevideo/danubio/2559986,River Plate,Terminado,1510423200
Sud América,Uruguai - Primera Division,11/11/17 15:00:00,https://www.academiadasapostasbrasil.com/stats/match/uruguai/primera-division/racing/sud-america/2559988,Racing,Terminado,1510423200
